text,label
HUO V,he_from_en
DO AO,he_from_en
אם,he
"ז ,מח",ru_from_he
מי,he
yflj jy,ru_from_en
בשמ םכ,en_from_he
gjl,ru_from_en
ЯМ,he_from_ru
ספר,he
at,en
בםוךג אןצק,en_from_he
JUAC,he_from_en
RE HUSG,he_from_en
first,en
ЯМ МГЕ,he_from_ru
well,en
ANA ZNI,he_from_en
מאוד,he
она,ru
пшму црщ,en_from_ru
фе ыуу,en_from_ru
come,en
njkmrj,ru_from_en
םוא,en_from_he
get,en
цудд,en_from_ru
HUSG,he_from_en
איקדק ׳ןאי,en_from_he
him,en
במכמצ,ru_from_he
ефлу нуфк,en_from_ru
up,en
ьу щгк,en_from_ru
NV <NHS,he_from_en
АЛ,he_from_ru
ЬКРД РКО,he_from_ru
TR> GFAHU,he_from_en
חושב,he
הוא,he
СЕ ЕСЛ,he_from_ru
ыфн,en_from_ru
GO HRJ,he_from_en
щту,en_from_ru
גבא,ru_from_he
МРМ ФЩ,he_from_ru
but,en
׳ק,en_from_he
pltcm rnj,ru_from_en
בםצק ׳םרל,en_from_he
yf ;bpym,ru_from_en
ЯМ,he_from_ru
ר קף,ru_from_he
any,en
RUMV,he_from_en
сщьу нуфк,en_from_ru
סמחתד מחלצרח,ru_from_he
вщ,en_from_ru
גד רכרח/,ru_from_he
ה,he
ша цшдд,en_from_ru
think,en
щгк ецщ,en_from_ru
םאיקר איק,en_from_he
טח סמח,ru_from_he
фт ру,en_from_ru
ЧЗК,he_from_ru
надо,ru
איך,he
the,en
ше,en_from_ru
ПАФРГ РКО,he_from_ru
иусфгыу,en_from_ru
ша дщщл,en_from_ru
היה,he
םהקר םהקר,en_from_he
צט,en_from_he
ФЛ,he_from_ru
as,en
ыуу пшму,en_from_ru
даже,ru
FK,he_from_en
צריך,he
GUKO,he_from_en
םאיקר כרםצ,en_from_he
מחלצרח רכרח/,ru_from_he
ршь гыу,en_from_ru
e;,ru_from_en
עח טא,ru_from_he
ашкые нщгк,en_from_ru
ךחה,ru_from_he
one,en
Ш щтдн,en_from_ru
вы,ru
даже,ru
ЬКРД,he_from_ru
שנםוא,en_from_he
כי,he
СРБ ТР,he_from_ru
"xnj,s",ru_from_en
בגח/,ru_from_he
way,en
ntgthm,ru_from_en
yb,ru_from_en
חיים,he
כי,he
עכשיו,he
about,en
ТР,he_from_ru
дщщл фтв,en_from_ru
NTUS,he_from_en
מכרח/ קף,ru_from_he
יכול,he
ее,ru
фтв,en_from_ru
רואה,he
ни,ru
tt,ru_from_en
משפחה,he
ТР РФ,he_from_ru
цшер ьфлу,en_from_ru
Л АР,he_from_ru
pltcm nj,ru_from_en
just,en
ךכףא,ru_from_he
ЕСЛ ЫСК,he_from_ru
еруыу,en_from_ru
ZV,he_from_en
ה,he
פקםפךק שנםוא,en_from_he
וד ׳שט,en_from_he
make,en
שנםוא צק,en_from_he
ше ыуу,en_from_ru
ЕСЛ,he_from_ru
יש,he
ל,he
FK,he_from_en
בא/סכב אא,ru_from_he
ckjdj cdjq,ru_from_en
עם,he
כאן,he
ds rfrjq,ru_from_en
ybxnj,ru_from_en
фтв,en_from_ru
надо,ru
ру,en_from_ru
׳קךך,en_from_he
אם,he
z,ru_from_en
גד,ru_from_he
гыу гыу,en_from_ru
ל,he
ns r,ru_from_en
же,ru
стать,ru
ЗПЩ ЬКРД,he_from_ru
то,ru
"hf,jnf ,snm",ru_from_en
אהבה,he
זה,he
ltkj,ru_from_en
when,en
יום,he
as,en
yflj,ru_from_en
נךמנ,ru_from_he
зущзду ещ,en_from_ru
rfrjq,ru_from_en
СЕ М,he_from_ru
עןהק איןמל,en_from_he
НГС,he_from_ru
םמ,en_from_he
сфт ыщьу,en_from_ru
vs,ru_from_en
רק,he
nj bp,ru_from_en
VHV,he_from_en
other,en
גד,ru_from_he
ףנפטצ וחלחגכ,ru_from_he
THPV TBH,he_from_en
its,en
HRJ,he_from_en
but,en
"b hf,jnf",ru_from_en
цршср,en_from_ru
yflj vs,ru_from_en
זה,he
of,en
זמן,he
сказать,ru
фаеук ф,en_from_ru
FK AK,he_from_en
когда,ru
עכשיו,he
фтн,en_from_ru
ащк умут,en_from_ru
HA,he_from_en
חיים,he
YUC,he_from_en
ЕБ,he_from_ru
ds,ru_from_en
מק׳,en_from_he
VUT AK,he_from_en
מאעאיצ,ru_from_he
слово,ru
ТФЗОМ РАГЛ,he_from_ru
РГБК ЕГ,he_from_ru
ршы,en_from_ru
K C,he_from_en
way,en
look,en
ודק מםא,en_from_he
חט,ru_from_he
רמח תדמצ,ru_from_he
РКО,he_from_ru
יק,en_from_he
кто,ru
мочь,ru
כ עחמחה,ru_from_he
NH C,he_from_en
работа,ru
"xnj,s",ru_from_en
של,he
до,ru
как,ru
tckb,ru_from_en
работа,ru
צריך,he
אתה,he
ודק ׳םוךג,en_from_he
כן,he
там,ru
רואה,he
טנ עח,ru_from_he
בלחגח נ,ru_from_he
קף בא/סכב,ru_from_he
tckb,ru_from_en
себя,ru
שמ איק,en_from_he
THA RE,he_from_en
под,ru
я,ru
עחמחה רכרח/,ru_from_he
םמק איקרק,en_from_he
нуфк фдыщ,en_from_ru
РАГЛ МГЕ,he_from_ru
would,en
יקר,en_from_he
но,ru
жизнь,ru
мы,ru
HFUK,he_from_en
םוא,en_from_he
גד פכ,ru_from_he
ЫСК ТФЗОМ,he_from_ru
FSH TCK,he_from_en
jxtym,ru_from_en
щерук,en_from_ru
נוא,en_from_he
do,en
ש,en_from_he
בםוךג ים׳,en_from_he
שמג,en_from_he
ТФЗОМ,he_from_ru
црут,en_from_ru
ТР Л,he_from_ru
гыу,en_from_ru
up,en
vtcnj,ru_from_en
црщ цщгдв,en_from_ru
נהאמצ,ru_from_he
טםור ןמאם,en_from_he
РКО,he_from_ru
RE NH,he_from_en
из,ru
םמךט,en_from_he
זמן,he
ןמ ןמאם,en_from_he
f,ru_from_en
фдд,en_from_ru
משפחה,he
then,en
חטנ,ru_from_he
ТРЩ ПГФМ,he_from_ru
איש,he
גחמ נךמנ,ru_from_he
נ ךלז,ru_from_he
штещ,en_from_ru
за,ru
VHV,he_from_en
который,ru
вфн еруку,en_from_ru
בםוךג צשלק,en_from_he
ЫСК ТР,he_from_ru
C,he_from_en
только,ru
фдд,en_from_ru
РГЩ,he_from_ru
ЕСЛ,he_from_ru
ךיקו נהאמצ,ru_from_he
רק,he
עחך,ru_from_he
or,en
щт,en_from_ru
למם׳,en_from_he
"xnj,s",ru_from_en
how,en
ща,en_from_ru
РЛЫ ТФЗОМ,he_from_ru
as,en
ФЛ,he_from_ru
ьн,en_from_ru
dct,ru_from_en
цщгдв,en_from_ru
МГЕ,he_from_ru
АЫР,he_from_ru
еру,en_from_ru
say,en
יום,he
מםא,en_from_he
עח,ru_from_he
gthdsq ctqxfc,ru_from_en
все,ru
me,en
ерун умут,en_from_ru
c yb,ru_from_en
like,en
фтн ерштл,en_from_ru
HKS,he_from_en
даже,ru
ф ерфт,en_from_ru
even,en
ецщ,en_from_ru
иусфгыу,en_from_ru
HU<R,he_from_en
надо,ru
вы,ru
ше тще,en_from_ru
ьфлу пщ,en_from_ru
надо,ru
כן,he
ыщ щк,en_from_ru
ב ר,ru_from_he
она,ru
штещ,en_from_ru
ЯТШ ФТФ,he_from_ru
цфте,en_from_ru
יכתחמכ,ru_from_he
стать,ru
ЫСК,he_from_ru
ПРК,he_from_ru
way,en
ОГФС,he_from_ru
םמק עןהק,en_from_he
первый,ru
SCR KT,he_from_en
ר,ru_from_he
SRL RUTV,he_from_en
KNV,he_from_en
ОРРЩ ЕИР,he_from_ru
РАГЛ ЕБ,he_from_ru
ФТФ ТР,he_from_ru
еру,en_from_ru
GFAHU THPV,he_from_en
гы,en_from_ru
can,en
nfrjq ckjdj,ru_from_en
весь,ru
njn rfrjq,ru_from_en
היה,he
our,en
היה,he
תדמצ,ru_from_he
ни,ru
КГЬМ,he_from_ru
C NAPJV,he_from_en
еруку щерук,en_from_ru
друг,ru
ljv blnb,ru_from_en
שד שמ,en_from_he
фдыщ фт,en_from_ru
щту,en_from_ru
new,en
יק מם,en_from_he
םמ דיק,en_from_he
HKS,he_from_en
ЯТШ,he_from_ru
ujl yj,ru_from_en
ерфе,en_from_ru
T<V KNV,he_from_en
шт еруыу,en_from_ru
מם׳,en_from_he
место,ru
njkmrj pltcm,ru_from_en
סמחתד,ru_from_he
глаз,ru
גשט,en_from_he
יקר,en_from_he
םאיקר,en_from_he
фе фаеук,en_from_ru
гы ыуу,en_from_ru
שם,he
с,ru
will,en
ךח סמחתד,ru_from_he
פקםפךק ןמ,en_from_he
bvtnm ukfp,ru_from_en
в,ru
עם,he
xnj,ru_from_en
ПАФРГ,he_from_ru
до,ru
think,en
אבלנ ךיקו,ru_from_he
за,ru
want,en
год,ru
טנסמח טנסמח,ru_from_he
my,en
hfp cfv,ru_from_en
שם,he
gjnjv,ru_from_en
זה,he
עולם,he
like,en
שא ןמ,en_from_he
KT TR>,he_from_en
מם,en_from_he
<NHS,he_from_en
THA CT,he_from_en
тще,en_from_ru
ЕБ,he_from_ru
и,ru
םאיקר,en_from_he
njkmrj,ru_from_en
ф,en_from_ru
ащк,en_from_ru
АЫР,he_from_ru
can,en
איקןר,en_from_he
על,he
Ш,en_from_ru
דם טקשר,en_from_he
ЕСЛ,he_from_ru
׳קךך,en_from_he
еру ыщьу,en_from_ru
נפ,ru_from_he
צט ׳םוךג,en_from_he
ерфе,en_from_ru
HA,he_from_en
החסצ סמחתד,ru_from_he
KJO MRHL,he_from_en
ПГФМ,he_from_ru
очень,ru
фдд гыу,en_from_ru
מאוד,he
"ק ,מח",ru_from_he
ыру рщц,en_from_ru
dtcm nfv,ru_from_en
שךדם צשלק,en_from_he
тщ цу,en_from_ru
גשט םור,en_from_he
dct,ru_from_en
глаз,ru
щк,en_from_ru
ЕРФ,he_from_ru
еруыу,en_from_ru
<NHS NHO,he_from_en
cnfnm vtcnj,ru_from_en
שנםוא ןא,en_from_he
",snm",ru_from_en
ефлу,en_from_ru
GUAV RUTV,he_from_en
to,en
אא וחלחגכ,ru_from_he
טנסמח,ru_from_he
NHO FI,he_from_en
זמן,he
ТРЩ ЕСЛ,he_from_ru
an,en
ЕБ НГС,he_from_ru
טכ גבא,ru_from_he
"ct,z yflj",ru_from_en
VHV ZV,he_from_en
ыуу ифсл,en_from_ru
ПРК ЯТШ,he_from_ru
שם,he
сказать,ru
נט איןמל,en_from_he
נק,en_from_he
к,ru
no,en
jxtym njkmrj,ru_from_en
KJO,he_from_en
ckjdj,ru_from_en
ЫКД ЕКЮ,he_from_ru
NAPJV KNV,he_from_en
ЕСЛ ТМ,he_from_ru
'nj,ru_from_en
הוא,he
работа,ru
day,en
НГС ЛТМ,he_from_ru
"לנ׳ח ,מחמ",ru_from_he
ים׳,en_from_he
ukfp cnfnm,ru_from_en
ПРК,he_from_ru
אבלנ,ru_from_he
מד,ru_from_he
фы ыуу,en_from_ru
HU<R,he_from_en
all,en
ерфт ыщ,en_from_ru
אבל,he
צריך,he
lkz,ru_from_en
FI,he_from_en
еру,en_from_ru
one,en
r,ru_from_en
SRL,he_from_en
такой,ru
АЕШ С,he_from_ru
GFAHU,he_from_en
cnjznm,ru_from_en
צט,en_from_he
T<V N<H,he_from_en
щт ф,en_from_ru
они,ru
FSH MRHL,he_from_en
там,ru
место,ru
איק,en_from_he
если,ru
וךא הד,ru_from_he
בית,he
цфте,en_from_ru
щмук цфте,en_from_ru
זה,he
ספר,he
מאוד,he
b,ru_from_en
ג החסצ,ru_from_he
ЕГ МГЕ,he_from_ru
ךח,ru_from_he
кто,ru
ףא,ru_from_he
יכול,he
נהאמצ,ru_from_he
ybxnj lj,ru_from_en
RE T<V,he_from_en
щерук,en_from_ru
עיר,he
בא/סכב רחמחיד/,ru_from_he
ЕИР,he_from_ru
באתז,ru_from_he
за,ru
גחמ ז,ru_from_he
лицо,ru
like,en
ujl,ru_from_en
весь,ru
חטכ וחך,ru_from_he
גם,he
ntgthm,ru_from_en
фе цщгдв,en_from_ru
שנםוא,en_from_he
be,en
של,he
AO,he_from_en
כןרדא,en_from_he
rjulf pltcm,ru_from_en
rnj xtkjdtr,ru_from_en
фтв ьу,en_from_ru
םמךט,en_from_he
lheu,ru_from_en
vjxm,ru_from_en
он,ru
гыу нщгк,en_from_ru
פקםפךק,en_from_he
yf,ru_from_en
b z,ru_from_en
גם,en_from_he
то,ru
njkmrj,ru_from_en
למה,he
מי,he
ещ огые,en_from_ru
עולם,he
ОГФС,he_from_ru
ЛОЩ МРМ,he_from_ru
אישא,en_from_he
HU<R,he_from_en
ше ше,en_from_ru
like,en
םור למם׳,en_from_he
ספר,he
что,ru
к,ru
this,en
אתה,he
за,ru
штещ,en_from_ru
NHO,he_from_en
איןד כםר,en_from_he
could,en
мочь,ru
איש,he
like,en
ברכפכמצ טא,ru_from_he
שם,he
כן,he
ьу,en_from_ru
ЛЕ ОРРЩ,he_from_ru
what,en
טנסמח,ru_from_he
ыру,en_from_ru
זה,he
איקצ יקר,en_from_he
ТР,he_from_ru
למה,he
she,en
HU<R TU,he_from_en
щк,en_from_ru
it,en
здесь,ru
יודע,he
NAPJV,he_from_en
cnjznm vs,ru_from_en
место,ru
SCR HUO,he_from_en
I,en
אם שמט,en_from_he
מכה,ru_from_he
שמט,en_from_he
цудд,en_from_ru
"hf,jnf ct,z",ru_from_en
פךאבצ באתז,ru_from_he
здесь,ru
׳ןךך,en_from_he
по,ru
שמש,he
црфе акщь,en_from_ru
ZNI,he_from_en
ПАФРГ,he_from_ru
של,he
NHO,he_from_en
то,ru
пщ иусфгыу,en_from_ru
V,he_from_en
к,ru
יכפ עאיגד/,ru_from_he
CT HKS,he_from_en
за,ru
חיים,he
יכתחמכ,ru_from_he
these,en
это,ru
כן,he
то,ru
T< HFUK,he_from_en
גם אשלק,en_from_he
כן,he
ЕИР,he_from_ru
our,en
for,en
ЬКРД,he_from_ru
цшер,en_from_ru
מכה מכרח/,ru_from_he
KT FSH,he_from_en
גד ולכפ,ru_from_he
FK FSH,he_from_en
אומר,he
עם,he
one,en
гыу,en_from_ru
היה,he
о,ru
םמ,en_from_he
ТФЗОМ,he_from_ru
xtkjdtr bvtnm,ru_from_en
ZNI GHR,he_from_en
b,ru_from_en
בא/סכב,ru_from_he
щту огые,en_from_ru
РЛЫ ФТФ,he_from_ru
ג,ru_from_he
ЕЩ ЕБМ,he_from_ru
вы,ru
и,ru
make,en
כןרדא םכ,en_from_he
ЕСЛ,he_from_ru
after,en
the,en
there,en
׳יקמ,en_from_he
THL,he_from_en
црщ цщкл,en_from_ru
kb c,ru_from_en
тщ еруь,en_from_ru
",snm c",ru_from_en
ןמאם טםור,en_from_he
צשלק,en_from_he
не,ru
ТЕГЫ ТФЗОМ,he_from_ru
איןד,en_from_he
כ החסצ,ru_from_he
рфму нуфк,en_from_ru
נקבשודק,en_from_he
בגח/ יכתחמכ,ru_from_he
rfrjq,ru_from_en
know,en
SCR FSH,he_from_en
сейчас,ru
раз,ru
עכשיו,he
пуе гы,en_from_ru
MRHL,he_from_en
ыщ,en_from_ru
<NHS,he_from_en
ujkjdf xtkjdtr,ru_from_en
׳םוךג נק,en_from_he
djn,ru_from_en
ljv rfrjq,ru_from_en
עם,he
בגח/,ru_from_he
вот,ru
идти,ru
ЕГ,he_from_ru
АЕШ,he_from_ru
Ш,en_from_ru
даже,ru
קהקמ ׳שמא,en_from_he
щк цщкл,en_from_ru
these,en
וחך רחמחיד/,ru_from_he
дщщл,en_from_ru
lj,ru_from_en
",מח",ru_from_he
עכשיו,he
של,he
щт,en_from_ru
בא/סכב ברכפכמצ,ru_from_he
just,en
СРБ,he_from_ru
because,en
если,ru
עושה,he
вот,ru
;t,ru_from_en
דבר,he
גם,he
אא,ru_from_he
V,he_from_en
ТМ,he_from_ru
yt ds,ru_from_en
щк ерут,en_from_ru
עולם,he
PGO GUAV,he_from_en
нуфк,en_from_ru
надо,ru
ЕСЛ,he_from_ru
גבא ז,ru_from_he
же,ru
ujl rjnjhsq,ru_from_en
גם נשבל,en_from_he
ופ ןכ,en_from_he
ин цудд,en_from_ru
НГС,he_from_ru
ףא תדמצ,ru_from_he
אתה,he
ךלז מכרח/,ru_from_he
GK,he_from_en
בא,he
even,en
еруь ин,en_from_ru
лтщц,en_from_ru
ршь,en_from_ru
жизнь,ru
r jyf,ru_from_en
חסאטצ,ru_from_he
f,ru_from_en
bvtnm dtcm,ru_from_en
אומר,he
NH HU<R,he_from_en
עאיגד/ נפ,ru_from_he
ЕРЗМ,he_from_ru
T<V,he_from_en
когда,ru
гыу,en_from_ru
"jlby ,snm",ru_from_en
ещ ру,en_from_ru
איקןר,en_from_he
רק,he
ЗПЩ,he_from_ru
םכ ןאד,en_from_he
איןד דקק,en_from_he
gj jy,ru_from_en
"b ,snm",ru_from_en
dtcm,ru_from_en
טח,ru_from_he
уж,ru
сщьу,en_from_ru
TO TBH,he_from_en
בא/סכב ח,ru_from_he
יק עםםג,en_from_he
לחם,he
ЕИР ЕЩ,he_from_ru
טםור,en_from_he
yt kb,ru_from_en
стать,ru
חיים,he
дщщл црут,en_from_ru
two,en
цщгдв ру,en_from_ru
נק עםםג,en_from_he
NH,he_from_en
HRJ,he_from_en
ТРЩ,he_from_ru
цфн,en_from_ru
GUAV HFUK,he_from_en
נק,en_from_he
фищге,en_from_ru
cfv,ru_from_en
цршср ашкые,en_from_ru
для,ru
VUT <NHS,he_from_en
црщ,en_from_ru
"bvtnm ct,z",ru_from_en
рщц ршь,en_from_ru
ТР ЛОЩ,he_from_ru
этот,ru
'njn,ru_from_en
ופ םר,en_from_he
тще шт,en_from_ru
ה,he
׳םוךג ׳קךך,en_from_he
